,City,ds,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,y
1,Ahmedabad,2015-01-02,67.45057794890306,118.12710293078135,0.97,15.69,16.46,23.48347601937197,0.97,24.55,34.06,3.68,5.5,3.77,166.4635814889336
3,Ahmedabad,2015-01-04,67.45057794890306,118.12710293078135,1.7,18.48,17.97,23.48347601937197,1.7,18.59,36.08,4.43,10.14,1.0,166.4635814889336
9,Ahmedabad,2015-01-10,67.45057794890306,118.12710293078135,17.574729662029362,7.04,0.0,23.48347601937197,2.2485982090856145,8.29,4.55,0.0,0.0,0.0,166.4635814889336
56,Ahmedabad,2015-02-26,67.45057794890306,118.12710293078135,17.574729662029362,28.560659061126955,32.30912333307031,23.48347601937197,2.2485982090856145,14.53197725590996,34.49143047551845,3.280840304500585,8.700972080037227,3.0701278234985114,166.4635814889336
57,Ahmedabad,2015-02-27,67.45057794890306,118.12710293078135,17.574729662029362,28.560659061126955,32.30912333307031,23.48347601937197,2.2485982090856145,14.53197725590996,34.49143047551845,3.280840304500585,8.700972080037227,3.0701278234985114,166.4635814889336
58,Ahmedabad,2015-02-28,67.45057794890306,118.12710293078135,17.574729662029362,28.560659061126955,32.30912333307031,23.48347601937197,2.2485982090856145,14.53197725590996,34.49143047551845,3.280840304500585,8.700972080037227,3.0701278234985114,166.4635814889336
64,Ahmedabad,2015-03-06,67.45057794890306,118.12710293078135,17.574729662029362,28.560659061126955,32.30912333307031,23.48347601937197,2.2485982090856145,14.53197725590996,34.49143047551845,3.280840304500585,8.700972080037227,3.0701278234985114,166.4635814889336
196,Ahmedabad,2015-07-16,65.37,118.12710293078135,0.64,8.07,8.57,23.48347601937197,0.64,16.31,8.02,1.63,4.34,0.28,105.0
197,Ahmedabad,2015-07-17,56.28,118.12710293078135,0.6,8.02,8.51,23.48347601937197,0.6,18.93,6.2,1.52,3.74,0.29,101.0
198,Ahmedabad,2015-07-18,48.17,118.12710293078135,0.65,8.0,8.55,23.48347601937197,0.65,18.99,7.97,1.23,4.74,0.12,93.0
199,Ahmedabad,2015-07-19,33.56,118.12710293078135,0.72,7.89,8.56,23.48347601937197,0.72,11.28,10.18,0.61,3.85,0.08,67.0
200,Ahmedabad,2015-07-20,31.3,118.12710293078135,0.55,8.1,8.49,23.48347601937197,0.55,10.29,7.44,0.52,2.31,0.06,60.0
202,Ahmedabad,2015-07-22,57.11,118.12710293078135,0.55,8.28,8.42,23.48347601937197,0.55,14.58,2.6,2.81,14.53,1.87,90.0
203,Ahmedabad,2015-07-23,34.72,118.12710293078135,0.1,9.73,7.88,23.48347601937197,0.1,13.62,4.87,1.44,5.22,0.38,78.0
205,Ahmedabad,2015-07-25,29.79,118.12710293078135,0.14,8.64,7.97,23.48347601937197,0.14,15.11,5.34,0.36,1.05,0.14,53.0
206,Ahmedabad,2015-07-26,59.95,118.12710293078135,0.18,8.78,8.16,23.48347601937197,0.18,11.52,2.79,0.52,1.23,0.22,91.0
207,Ahmedabad,2015-07-27,19.2,118.12710293078135,1.52,9.45,9.74,23.48347601937197,1.52,11.23,4.61,1.29,3.29,0.15,70.0
262,Ahmedabad,2015-09-20,67.45057794890306,118.12710293078135,17.574729662029362,28.560659061126955,32.30912333307031,23.48347601937197,2.2485982090856145,14.53197725590996,34.49143047551845,3.280840304500585,8.700972080037227,3.0701278234985114,166.4635814889336
304,Ahmedabad,2015-11-01,67.45057794890306,118.12710293078135,17.574729662029362,28.560659061126955,32.30912333307031,23.48347601937197,2.2485982090856145,14.53197725590996,34.49143047551845,3.280840304500585,8.700972080037227,3.0701278234985114,166.4635814889336
312,Ahmedabad,2015-11-09,67.45057794890306,118.12710293078135,17.574729662029362,28.560659061126955,32.30912333307031,23.48347601937197,2.2485982090856145,14.53197725590996,34.49143047551845,3.280840304500585,8.700972080037227,3.0701278234985114,166.4635814889336
313,Ahmedabad,2015-11-10,67.45057794890306,118.12710293078135,17.574729662029362,28.560659061126955,32.30912333307031,23.48347601937197,2.2485982090856145,14.53197725590996,34.49143047551845,3.280840304500585,8.700972080037227,3.0701278234985114,166.4635814889336
314,Ahmedabad,2015-11-11,67.45057794890306,118.12710293078135,17.574729662029362,28.560659061126955,32.30912333307031,23.48347601937197,2.2485982090856145,14.53197725590996,34.49143047551845,3.280840304500585,8.700972080037227,3.0701278234985114,166.4635814889336
315,Ahmedabad,2015-11-12,67.45057794890306,118.12710293078135,17.574729662029362,28.560659061126955,32.30912333307031,23.48347601937197,2.2485982090856145,14.53197725590996,34.49143047551845,3.280840304500585,8.700972080037227,3.0701278234985114,166.4635814889336
316,Ahmedabad,2015-11-13,67.45057794890306,118.12710293078135,17.574729662029362,28.560659061126955,32.30912333307031,23.48347601937197,2.2485982090856145,14.53197725590996,34.49143047551845,3.280840304500585,8.700972080037227,3.0701278234985114,166.4635814889336
317,Ahmedabad,2015-11-14,67.45057794890306,118.12710293078135,17.574729662029362,28.560659061126955,32.30912333307031,23.48347601937197,2.2485982090856145,14.53197725590996,34.49143047551845,3.280840304500585,8.700972080037227,3.0701278234985114,166.4635814889336
318,Ahmedabad,2015-11-15,67.45057794890306,118.12710293078135,17.574729662029362,28.560659061126955,32.30912333307031,23.48347601937197,2.2485982090856145,14.53197725590996,34.49143047551845,3.280840304500585,8.700972080037227,3.0701278234985114,166.4635814889336
